3	3	217	15734635	15734635	15734650
1	0	218	15734650	15734650	15734650
5	3	218	15734682	15734682	15734682
5	2	219	15734697	15734697	15734697
4	3	219	15734713	15734713	15734713
5	2	218	15734744	15734744	15734744
5	2	218	15734760	15734760	15734760
4	0	219	15734775	15734775	15734775
4	4	218	15734791	15734791	15734791
4	1	218	15734822	15734822	15734822
5	0	219	15734838	15734838	15734838
4	2	218	15734853	15734853	15734853
3	0	219	15734884	15734884	15734884
3	2	219	15734900	15734900	15734900
5	2	217	15734916	15734916	15734916
4	0	219	15734931	15734931	15734931
5	0	219	15734962	15734962	15734962
1	0	218	15734978	15734978	15734978
4	0	218	15734994	15734994	15734994
4	0	219	15735009	15735009	15735009
3	1	219	15735040	15735040	15735040
4	2	218	15735056	15735056	15735056
4	0	218	15735072	15735072	15735072
4	0	219	15735103	15735103	15735103
4	2	219	15735118	15735118	15735118
4	1	218	15735134	15735134	15735134
4	0	218	15735150	15735150	15735150
4	0	217	15735181	15735181	15735181
2	1	218	15735196	15735196	15735196
4	1	219	15735212	15735212	15735212
5	1	219	15735243	15735243	15735243
3	0	218	15735259	15735259	15735259
3	2	218	15735274	15735274	15735274
4	3	216	15735290	15735290	15735290
5	2	219	15735321	15735321	15735321
4	2	219	15735337	15735337	15735337
5	2	217	15735352	15735352	15735352
3	2	219	15735384	15735384	15735384
4	4	219	15735399	15735399	15735399
3	0	218	15735415	15735415	15735415
5	1	218	15735430	15735430	15735430
6	0	219	15735462	15735462	15735462
4	0	218	15735477	15735477	15735477
4	1	218	15735493	15735493	15735493
4	2	218	15735524	15735524	15735524
5	0	219	15735540	15735540	15735540
4	2	219	15735555	15735555	15735555
3	0	219	15735571	15735571	15735571
4	1	219	15735602	15735602	15735602
5	2	218	15735618	15735618	15735618
5	0	219	15735633	15735633	15735633
4	0	219	15735664	15735664	15735664
4	0	219	15735680	15735680	15735680
4	0	218	15735696	15735696	15735696
4	0	219	15735711	15735711	15735711
6	0	219	15735742	15735742	15735742
6	0	218	15735758	15735758	15735758
6	0	219	15735774	15735774	15735774
5	1	217	15735789	15735789	15735789
5	0	219	15735820	15735820	15735820
5	0	217	15735836	15735836	15735836
7	0	219	15735852	15735852	15735852
2	3	220	15735883	15735883	15735883
5	0	220	15735898	15735898	15735898
4	0	218	15735914	15735914	15735914
4	0	218	15735930	15735930	15735930
4	1	220	15735961	15735961	15735961
5	1	218	15735976	15735976	15735976
3	3	219	15735992	15735992	15735992
5	0	219	15736023	15736023	15736023
4	2	220	15736039	15736039	15736039
5	3	219	15736054	15736054	15736054
4	4	217	15736070	15736070	15736070
5	2	219	15736101	15736101	15736101
4	0	219	15736117	15736117	15736117
6	2	218	15736132	15736132	15736132
4	0	217	15736164	15736164	15736164
4	1	218	15736179	15736179	15736179
5	0	219	15736195	15736195	15736195
4	0	218	15736210	15736210	15736210
6	2	218	15736242	15736242	15736242
4	2	219	15736257	15736257	15736257
5	0	217	15736273	15736273	15736273
3	0	218	15736304	15736304	15736304
5	1	220	15736320	15736320	15736320
6	0	218	15736335	15736335	15736335
9	0	219	15736351	15736351	15736351
5	0	217	15736382	15736382	15736382
4	1	219	15736398	15736398	15736398
3	0	218	15736413	15736413	15736413
4	0	218	15736444	15736444	15736444
3	0	218	15736460	15736460	15736460
4	1	219	15736476	15736476	15736476
5	0	217	15736491	15736491	15736491
5	0	218	15736522	15736522	15736522
5	2	218	15736538	15736538	15736538
5	0	219	15736554	15736554	15736554
3	0	219	15736569	15736569	15736569
5	0	218	15736600	15736600	15736600
4	0	218	15736616	15736616	15736616
5	1	218	15736632	15736632	15736632
5	0	218	15736663	15736663	15736663
4	0	218	15736678	15736678	15736678
4	0	219	15736694	15736694	15736694
3	0	218	15736710	15736710	15736710
4	0	219	15736741	15736741	15736741
4	1	218	15736756	15736756	15736756
4	1	219	15736772	15736772	15736772
4	1	218	15736803	15736803	15736803
4	1	217	15736819	15736819	15736819
4	2	219	15736834	15736834	15736834
5	0	217	15736850	15736850	15736850
4	1	219	15736881	15736881	15736881
5	3	219	15736897	15736897	15736897
4	0	218	15736912	15736912	15736912
5	1	219	15736944	15736944	15736944
4	1	219	15736959	15736959	15736959
3	0	218	15736975	15736975	15736975
5	2	219	15736990	15736990	15736990
4	1	218	15737022	15737022	15737022
4	2	217	15737037	15737037	15737037
3	2	218	15737053	15737053	15737053
5	1	218	15737084	15737084	15737084
3	1	218	15737100	15737100	15737100
4	0	217	15737115	15737115	15737115
4	0	218	15737131	15737131	15737131
4	0	218	15737162	15737162	15737162
4	1	217	15737178	15737178	15737178
6	2	219	15737193	15737193	15737193
4	1	219	15737224	15737224	15737224
5	0	218	15737240	15737240	15737240
5	0	218	15737256	15737256	15737256
6	1	218	15737271	15737271	15737271
4	0	218	15737302	15737302	15737302
4	0	219	15737318	15737318	15737318
5	0	220	15737334	15737334	15737334
4	0	219	15737349	15737349	15737349
3	2	219	15737380	15737380	15737380
4	1	218	15737396	15737396	15737396
5	1	219	15737412	15737412	15737412
3	0	219	15737443	15737443	15737443
4	0	219	15737458	15737458	15737458
5	0	218	15737474	15737474	15737474
4	0	219	15737490	15737490	15737490
4	0	218	15737521	15737521	15737521
5	0	219	15737536	15737536	15737536
5	0	218	15737552	15737552	15737552
5	2	218	15737583	15737583	15737583
6	0	219	15737599	15737599	15737599
4	1	219	15737614	15737614	15737614
5	0	219	15737630	15737630	15737630
5	2	220	15737661	15737661	15737661
4	2	217	15737677	15737677	15737677
5	2	219	15737692	15737692	15737692
4	2	219	15737724	15737724	15737724
5	3	218	15737739	15737739	15737739
4	1	218	15737755	15737755	15737755
6	2	219	15737770	15737770	15737770
4	2	218	15737802	15737802	15737802
4	1	218	15737817	15737817	15737817
3	3	218	15737833	15737833	15737833
6	2	220	15737864	15737864	15737864
2	2	219	15737880	15737880	15737880
5	0	219	15737895	15737895	15737895
5	1	220	15737911	15737911	15737911
4	0	219	15737942	15737942	15737942
5	1	217	15737958	15737958	15737958
4	1	218	15737973	15737973	15737973
5	2	219	15738004	15738004	15738004
4	3	218	15738020	15738020	15738020
4	0	218	15738036	15738036	15738051
3	0	218	15738051	15738051	15738051
6	0	220	15738082	15738082	15738082
4	1	218	15738098	15738098	15738098
3	0	218	15738114	15738114	15738114
5	2	219	15738129	15738129	15738129
5	0	218	15738160	15738160	15738160
4	0	217	15738176	15738176	15738176
4	0	220	15738192	15738192	15738192
3	0	219	15738223	15738223	15738223
4	1	219	15738238	15738238	15738238
4	0	217	15738254	15738254	15738254
4	0	219	15738270	15738270	15738270
5	1	219	15738301	15738301	15738301
4	0	219	15738316	15738316	15738316
5	0	218	15738332	15738332	15738332
8	0	219	15738363	15738363	15738363
9	0	218	15738379	15738379	15738379
5	1	219	15738394	15738394	15738394
4	0	218	15738410	15738410	15738410
6	1	220	15738441	15738441	15738441
4	0	220	15738457	15738457	15738457
3	1	218	15738472	15738472	15738472
4	0	220	15738504	15738504	15738504
5	4	218	15738519	15738519	15738519
6	2	219	15738535	15738535	15738535
4	2	219	15738550	15738550	15738550
4	2	219	15738582	15738582	15738582
4	1	219	15738597	15738597	15738597
